"","X","age","waa","maa","naa","baa","ssb","faa","M","catch","Fmulti"
"1",1,0,49.999929782297,0,15.3930435932514,769.651098798406,0,0,0.4,0,0
"2",2,1,100.292440659856,0.0209054044693735,10.3182656900569,1034.84404943266,21.633833416114,0,0.4,0,0
"3",3,2,147.114853948194,0.0461066378750808,6.91654033236688,1017.52582082295,46.914694549228,0,0.4,0,0
"4",4,3,190.706600470481,0.270044268927785,4.63629563399952,884.172179136183,238.765629721117,0,0.4,0,0
"5",5,4,231.290590730902,1,3.10780190281739,718.805337977257,718.805337977257,0,0.4,0,0
"6",6,5,269.074354788529,1,2.0832219145662,560.541592543225,560.541592543225,0,0.4,0,0
"7",7,6,304.251103481835,1,4.23570008695593,1288.71642547445,1288.71642547445,0,0.4,0,0
"8",8,0,49.999929782297,0,15.1606213781602,758.030004364,0,0.00198790917101668,0.4,1.23251564197259,0.1
"9",9,1,104.839259624979,0.0210119277472327,10.1422864225999,1063.30979944985,22.3421886789647,0.00321944854370896,0.4,2.79823059892262,0.1
"10",10,2,155.894769114271,0.0479916710897526,6.77672542531533,1056.45604553034,50.7010910578727,0.00839223030740064,0.4,7.22851114202134,0.1
"11",11,3,203.427535409718,0.284165158284413,4.50461208348076,916.362134119328,260.398190887862,0.0212271015888094,0.4,15.7578761971071,0.1
"12",12,4,247.680621791542,1,2.95611136845976,732.171501825158,732.171501825158,0.0245150283592658,0.4,14.5168981184242,0.1
"13",13,5,288.880320587627,1,1.93355378558293,558.565637452616,558.565637452616,0.027873184725449,0.4,12.5708135456526,0.1
"14",14,6,327.23731034067,1,3.62094463784579,1184.90818418113,1184.90818418113,0.027873184725449,0.4,26.6669820936171,0.1
"15",15,0,49.999929782297,0,14.9010262880159,745.050268084954,0,0.00397581834203336,0.4,2.42041680702842,0.2
"16",16,1,109.261319257868,0.0211306393229413,9.94882317819805,1087.02154551317,22.9694602145051,0.00643889708741792,0.4,5.71206710866633,0.2
"17",17,2,164.433773797306,0.0501726353054742,6.62609322624006,1089.55351472342,54.6657711400158,0.0167844606148013,0.4,14.8476409743894,0.2
"18",18,3,215.799422946677,0.299834153475357,4.36767535820594,942.541821919261,282.606229290282,0.0424542031776187,0.4,32.0757063144755,0.2
"19",19,4,263.620929793907,1,2.80604693935026,739.732703196864,739.732703196864,0.0490300567185315,0.4,28.9784449668103,0.2
"20",20,5,308.142834121242,1,1.79095080181754,551.868655843768,551.868655843768,0.055746369450898,0.4,24.4987814748176,0.2
"21",21,6,349.592802882464,1,3.10201799411518,1084.44316515457,1084.44316515457,0.055746369450898,0.4,48.1410492218686,0.2
"22",22,0,49.999929782297,0,14.6215288673135,731.075416675504,0,0.00596372751305005,0.4,3.5589895490179,0.3
"23",23,1,113.546760291652,0.0212584836553121,9.74282673773397,1106.26641215258,23.5175464411664,0.00965834563112688,0.4,8.70578581574088,0.3
"24",24,2,172.708967732773,0.0526325718542146,6.4680388578091,1117.08831438768,58.7952309745128,0.0251766909222019,0.4,22.7390167685008,0.3
"25",25,3,227.789083629206,0.316836712903577,4.22786128357209,963.060647496284,305.132969879513,0.0636813047664281,0.4,48.6465286407053,0.3
"26",26,4,279.068765344661,1,2.65917241900052,742.091963809052,742.091963809052,0.0735450850777973,0.4,43.0804515896912,0.3
"27",27,5,326.810236364492,1,1.65610733325673,541.232829026599,541.232829026599,0.083619554176347,0.4,35.5469094933624,0.3
"28",28,6,371.257627200194,1,2.66283252170911,988.596883641235,988.596883641235,0.083619554176347,0.4,64.9287368828251,0.3
"29",29,0,49.999929782297,0,14.3282948511448,716.413736457288,0,0.00795163668406673,0.4,4.64553787060157,0.4
"30",30,1,117.685524466812,0.021392850364623,9.52847426301879,1121.36349101189,23.9891613675686,0.0128777941748358,0.4,11.7472339769013,0.4
"31",31,2,180.700928404408,0.0553557349183759,6.30540254257477,1139.39209340678,63.0718866907188,0.0335689212296026,0.4,30.7951754435125,0.4
"32",32,3,239.368376802062,0.334962613350408,4.08710906935784,978.324663745173,327.702186073242,0.0849084063552375,0.4,65.2030063928351,0.4
"33",33,4,293.987871186323,1,2.51665209565527,739.865192118292,739.865192118292,0.098060113437063,0.4,56.5804760601226,0.4
"34",34,5,344.838713489387,1,1.52939062435581,527.393095325588,527.393095325588,0.111492738901796,0.4,45.5550684443438,0.4
"35",35,6,392.180934285855,1,2.29026498607544,898.198262001245,898.198262001245,0.111492738901796,0.4,77.5844122054666,0.4
"36",36,0,49.999929782297,0,14.0263241838257,701.315224295021,0,0.00993954585508341,0.4,5.67890174629856,0.5
"37",37,1,121.67120130818,0.0215316033831133,9.30913631195398,1132.65379821704,24.3878523535861,0.0160972427185448,0.4,14.8080884186779,0.5
"38",38,2,188.397277173741,0.058328110755317,6.14045641653733,1156.84526947966,67.4765990049742,0.0419611515370032,0.4,38.9209909855172,0.5
"39",39,3,250.519367456578,0.354012877519344,3.94692945242441,988.782269817103,350.041656578061,0.106135507944047,0.4,81.5190795257426,0.5
"40",40,4,308.355139320105,1,2.37929069238929,733.666512934728,733.666512934728,0.122575141796329,0.4,69.2942497906446,0.5
"41",41,5,362.20034143453,1,1.4108992584635,511.028193145205,511.028193145205,0.139365923627245,0.4,54.4290867258811,0.5
"42",42,6,412.330316315554,1,1.97350889612641,813.737547391364,813.737547391364,0.139365923627245,0.4,86.6703483940374,0.5
"43",43,0,49.999929782297,0,13.7197204528702,685.985059276255,0,0.0119274550261001,0.4,6.65910876797492,0.6
