"","R","SSB","SPR","YPR","B","SY","SPR0","pSPR","Fmulti","Scenario"
"1",28.4630632747386,9808.50923787614,344.60483550909,0,20879.9186337289,0,696.957795469759,0.494441467975578,0,"A"
"2",28.1783337719322,9534.90779147165,338.37727484686,1.94701928246201,20485.6717162032,54.8637554391134,344.60485213824,0.981928352857662,0.02,"A"
"3",27.8915964167292,9269.19201932143,332.329203421351,3.82918428403504,20098.7484387312,106.802052753399,344.60485213824,0.964377609192908,0.04,"A"
"4",27.6028467116412,9011.04061437609,326.453307824073,5.64933223980674,19718.8272820382,155.937633103463,344.60485213824,0.947326498157126,0.06,"A"
"5",27.3120801544016,8760.14930320648,320.742662356119,7.41014597833896,19345.6037633635,202.386470575044,344.60485213824,0.930754922241931,0.08,"A"
"6",27.019292238884,8516.2297358681,315.190703759895,9.11416406968174,18978.7893267731,246.258218032525,344.60485213824,0.914643835698097,0.1,"A"
"7",26.7244784554292,8279.00846090219,309.791207888671,10.7637901885651,18618.1103179458,287.656618473975,344.60485213824,0.898975176833544,0.12,"A"
"8",26.4276342902631,8048.22597773959,304.538268137941,12.3613017625609,18263.3070354718,326.679884927183,344.60485213824,0.883731805423839,0.14,"A"
"9",26.1287552236657,7823.63585956588,299.426275480576,13.908857968006,17914.1328515102,363.421051614056,344.60485213824,0.868897444776721,0.16,"A"
"10",25.8278367265723,7605.00394043537,294.449899964373,15.4085071302548,17570.3533954304,397.968298835526,344.60485213824,0.854456628040318,0.18,"A"
"11",25.5248792504016,7392.11101343358,289.604152126098,16.8621935792969,17231.7538425672,430.405454799999,344.60485213824,0.840394876418983,0.2,"A"
"12",25.2198678741443,7184.73796489329,284.884044624959,18.2717640068367,16898.1052512793,460.811467897988,344.60485213824,0.826697717276123,0.22,"A"
"13",24.9128015056963,6982.68572420648,280.285046328888,19.6389733665323,16569.2116696338,489.261791603001,344.60485213824,0.813352001835571,0.24,"A"
"14",24.6036759475334,6785.76253333341,275.802792550342,20.9654903551515,16244.8815282,515.827995447734,344.60485213824,0.800345064322261,0.26,"A"
"15",24.2924875810013,6593.78596161279,271.433130906267,22.2529025088817,15924.9330605585,540.578132929089,344.60485213824,0.78766485504209,0.28,"A"
"16",23.9792516860172,6406.59311015063,267.172353584597,23.502720945872,15609.2199465879,563.57790269676,344.60485213824,0.775300614390129,0.3,"A"
"17",23.6639182070609,6223.99039930688,263.016054435556,24.7163847832523,15297.50978693,584.886501003491,344.60485213824,0.763239556273126,0.32,"A"
"18",23.3465166669908,6045.83904014969,258.961074424339,25.8952652543272,14989.6925361126,604.564231546839,344.60485213824,0.751472513568834,0.34,"A"
"19",23.0270382833654,5871.98445675256,255.003895181538,27.040669549353,14685.6096995967,622.666656792629,344.60485213824,0.739989276411122,0.36,"A"
"20",22.7054683815139,5702.27605478284,251.141088964519,28.1538444012404,14385.1023351289,639.24632476288,344.60485213824,0.728779897921381,0.38,"A"
"21",22.3818061361251,5536.57723604374,247.369546602743,29.235979435665,14088.0367990905,654.354058746307,344.60485213824,0.717835355677202,0.4,"A"
"22",22.0560527033231,5374.75815370606,243.686312596463,30.2882103033884,13794.2875227313,668.038468687853,344.60485213824,0.707147073189518,0.42,"A"
"23",21.7282004452408,5216.6901521917,240.088458560513,31.3116216110688,13503.7232133103,680.345419304256,344.60485213824,0.69670655265237,0.44,"A"
"24",21.3982314851941,5062.2454373651,236.573075717391,32.3072496654721,13216.2059815318,691.31800855386,344.60485213824,0.686505353158779,0.46,"A"
"25",21.0661664991358,4911.31931192392,233.137781006592,33.2760850447404,12931.649841632,700.999754091617,344.60485213824,0.676536559366459,0.48,"A"
"26",20.7319733419798,4763.7876193512,229.779748448022,34.219075009252,12649.9101522511,709.4289560385,344.60485213824,0.66679197063611,0.5,"A"
"27",20.3956703356731,4619.55354087568,226.496774307822,35.1371257635767,12370.9066298665,716.64534198289,344.60485213824,0.657265192008851,0.52,"A"
"28",20.057230678248,4478.5049597295,223.286306647827,36.0311045800996,12094.5111630003,722.68402362367,344.60485213824,0.647948818080643,0.54,"A"
"29",19.7166734045788,4340.55325841711,220.146328406957,36.9018417940376,11820.6516228031,727.581511374283,344.60485213824,0.638836995593562,0.56,"A"
"30",19.3739745300306,4205.59597961387,217.074507509803,37.7501326788018,11549.2118844543,731.369944423448,344.60485213824,0.629922957157675,0.58,"A"
"31",19.0291520025031,4073.55110375427,214.06897707362,38.576739209952,11280.1250588083,734.082821933317,344.60485213824,0.621201285313724,0.6,"A"
"32",18.6821618814205,3944.31649491378,211.127412338528,39.3823917253503,11013.2625018565,735.748071249879,344.60485213824,0.612665233900517,0.62,"A"
"33",18.3330340743933,3817.82139831063,208.248202824386,40.1677904885319,10748.5763765273,736.39733278933,344.60485213824,0.604310129506958,0.64,"A"
"34",17.9817563855938,3693.98226916573,205.429446932403,40.9336071617749,10485.9778074766,736.058143900107,344.60485213824,0.596130453932186,0.66,"A"
"35",17.6283227163733,3572.72100518695,202.669366942584,41.6804861948627,10225.3874885492,734.757271410585,344.60485213824,0.58812104845605,0.68,"A"
"36",17.2727097354428,3453.95681586106,199.966123947171,42.4090461350791,9966.71276821601,732.519150513816,344.60485213824,0.580276576799198,0.7,"A"
"37",16.914935024287,3337.62548388604,197.318256268426,43.1198808635686,9709.90328112705,729.369996532114,344.60485213824,0.572592797356407,0.72,"A"
"38",16.5549860053394,3223.65526022016,194.724130795427,43.8135607628139,9454.88212691665,725.332905710916,344.60485213824,0.565064971044901,0.74,"A"
