"","(Intercept)","Cohort_plus","Cohort_prev","Number_prev","Weight_prev","Cohort_plus:Weight_prev","Cohort_prev:Weight_prev","Number_prev:Weight_prev","df","logLik","AICc","delta","weight"
"5",185.658229405968,NA,NA,-2.97608271858086,0.935551031304133,NA,NA,NA,4,-1753.96254655843,3516.0579834823,0,0.718222375913452
"37",187.246992166692,NA,NA,-3.09150447395911,0.929906494329047,NA,NA,0.000487979651383825,5,-1753.92580772026,3518.05161544053,1.99363195822116,0.265061866635956
"10",181.331941193796,-0.120551461613261,NA,NA,0.917027216516549,-0.0343524022898312,NA,NA,5,-1756.69000981623,3523.58001963246,7.52203615015287,0.0167058868246332
"19",168.862828715849,NA,0.0213715990633514,NA,0.935423776728105,NA,-0.039781415978436,NA,5,-1764.15013094249,3538.50026188498,22.4422784026724,9.61568206862261e-06
"2",180.249410505457,-3.59720650355887,NA,NA,0.896305612436685,NA,NA,NA,4,-1768.8652604862,3545.86341133786,29.8054278555519,2.42154479378667e-07
"3",171.690343400657,NA,-4.54034759226736,NA,0.912491711309731,NA,NA,NA,4,-1771.80621972616,3551.74532981777,35.6873463354614,1.27893990311524e-08
"1",140.412584187491,NA,NA,NA,0.968632724935746,NA,NA,NA,3,-1786.75360233826,3579.5866748752,63.5286913928921,1.15127446979576e-14
