"","Scenario","SPR0","SB0","R0","B0","h","SPRmsy","SBmsy","Rmsy","Bmsy","MSY","Fmsy2F","pSPR"
"1","A",344.60485213824,9808.50996846063,28.463064021298,20879.9201889648,0.415185899574573,207.814920901916,3798.78560450334,18.2796576300519,10708.4391103696,736.409107123654,0.643047151087785,0.60305279978632
"2","B",671.004205498092,24148.5284810639,35.9886395393577,39209.8555035287,0.580252338613974,307.573446253411,8181.57339377108,26.6003892515163,18832.3952927181,2551.12055914639,1.61493974738694,0.458377821976685
"3","C",696.957795469759,25288.772653827,36.2845107956387,39480.7567711637,0.589466124082335,317.147080629208,8602.18113324312,27.1236333507365,18734.1949566282,2753.01403804805,1.80726127745948,0.455044886061497
"4","D",458.558446565312,2875.37751368139,15.3930435932514,6274.25650418512,0.508500544659898,153.516793805772,1413.24648187158,9.20581030150752,3978.09870074961,730.873726135459,2.3129064063499,0.334781302046971
