"","Fmulti","B","SSB","SY","SPR0","R","SPR","pSPR"
"1",0,6274.25650418513,2875.37751368139,0,0,15.3930435932514,186.79720461144,Inf
"2",0.1,6269.80330692242,2809.0867940836,80.7718273377176,201.396859423841,15.1606213781602,185.288368069812,0.920016174035125
"3",0.2,6240.21167443601,2736.28598484,156.674106868056,215.867201298522,14.9010262880159,183.63070649977,0.850665156147681
"4",0.3,6189.41246718893,2659.36742377208,227.206418739844,230.171104307143,14.6215288673135,181.880256702643,0.790195872979518
"5",0.4,6120.95053406626,2580.21978357665,292.110910393783,244.27207332378,14.3282948511448,180.078635342328,0.737205170005803
"6",0.5,6038.02881528012,2500.33836140792,351.320745586799,258.14088432314,14.0263241838257,178.260414392187,0.690554752144728
"7",0.6,5943.49758012802,2420.86498282042,404.913896889752,271.751986550414,13.7197204528702,176.451480271522,0.649310728180408
"8",0.7,5839.86683158789,2342.65277804057,453.07503448128,285.085162369272,13.4117558679789,174.671594167155,0.612699702487154
"9",0.8,5729.32264205618,2266.30854403508,496.063065094701,298.12237993507,13.1050866583105,172.933503083547,0.580075548575758
"10",0.9,5613.73585262082,2192.25570979633,534.185225285423,310.853562319349,12.8016502864504,171.247898571067,0.550895724962417
"11",1,5494.69183453991,2120.75767640498,567.775397713511,323.270509877099,12.5029568907798,169.620490171323,0.524701403279282
"12",1.1,5373.51188281056,2051.96029290034,597.177928111225,335.369336080837,12.2100779329303,168.054643399634,0.501103187797486
"13",1.2,5251.28329889912,1985.9186949303,622.735419519064,347.149147396953,11.9237522974917,166.551488607161,0.479769257266001
"14",1.3,5128.88712616333,1922.62160280795,644.779974640912,358.611847604703,11.6444442790286,165.110636174416,0.460416010450433
"15",1.4,5007.01909953672,1862.01124395485,663.626601022438,369.762841931897,11.3723638134214,163.73124132358,0.442800689404415
"16",1.5,4886.23414994517,1803.99527410685,679.571240690897,380.607362814948,11.1076202363599,162.410600625471,0.426714290087014
"17",1.6,4766.9488310231,1748.46193009828,692.886807086875,391.153942823799,10.8501371720617,161.146527677128,0.411977255077086
"18",1.7,4649.47904887012,1695.28640809274,703.824114839322,401.411285013939,10.5997750862322,159.936073577138,0.398434422618646
"19",1.8,4534.04373894326,1644.33841017408,712.610327639047,411.39029389366,10.3562833907979,158.776884343968,0.385951945635865
"20",1.9,4420.8193149628,1595.48584745043,719.454814867223,421.09845103838,10.1194896758002,157.664654895186,0.374412811318595
"21",2,4309.88849314507,1548.59953564879,724.54180955128,430.548703026251,9.88903055747302,156.597709618617,0.363716598187196
"22",2.1,4201.32844821703,1503.55473469089,728.042352851202,439.748807948065,9.66469141765958,155.571933930923,0.353774543828431
"23",2.2,4095.13553993054,1460.23162287065,730.103575214893,448.712433866964,9.44606710751988,154.586200399548,0.344510623579869
"24",2.3,3991.32483768953,1418.51839837275,730.863987849581,457.447212296243,9.23293467043833,153.636784944933,0.335856861327724
"25",2.4,3889.86641880141,1378.3096622293,730.444373268894,465.963660072692,9.02498067232376,152.721619277929,0.327754355895703
"26",2.5,3790.72090779884,1339.50748639566,728.953851622863,474.271247848723,8.82192410905943,151.838473085491,0.320151124012312
"27",2.6,3693.83820662724,1302.02114385696,726.490385945144,482.379057301416,8.62349727723578,150.985279173686,0.31300131481318
"28",2.7,3599.17269547202,1265.768071416,723.144212485502,490.294395863564,8.42948825789876,150.159539071654,0.306264033075833
"29",2.8,3506.63863798957,1230.66887889832,718.990246191235,498.028216035482,8.23957773537776,149.36067337702,0.299904038702856
"30",2.9,3416.18259146601,1196.65374325302,714.101965897367,505.586991138269,8.0535845027172,148.586476350906,0.293889041757941
"31",3,3327.73837016876,1163.6576120005,708.543825335088,512.978118502985,7.87130217187082,147.835464398634,0.288190585653165
"32",3.1,3241.23980733861,1131.62083497697,702.374133445515,520.208584980854,7.69253942164571,147.106276997781,0.2827832551114
"33",3.2,3156.62100288497,1100.48864944699,695.645619618926,527.285050928417,7.51711730148284,146.397695460986,0.277644312508416
"34",3.3,3073.82184489385,1070.21146718995,688.407069305485,534.213339333263,7.34488426831233,145.708418008315,0.272753237854692
"35",3.4,2992.76405226597,1040.74084771544,680.698681283188,541.001080899736,7.17563694509784,145.038113783953,0.268092096124357
"36",3.5,2913.41353153824,1012.03846310506,672.565781844237,547.651072059071,7.00931812968792,144.384723931788,0.263643643367531
"37",3.6,2835.70053977222,984.063700253394,664.042164765131,554.169884462605,6.84575951662759,143.7479213027,0.259393239028312
"38",3.7,2759.57245454103,956.78126581248,655.161695528578,560.562230302516,6.6848496336899,143.126819336452,0.255327261808579
"39",3.8,2684.97371363215,930.157743281872,645.954269866093,566.83312275946,6.52646912972513,142.520821717431,0.251433474853428
"40",3.9,2611.8574014941,904.163298352221,636.448713225313,572.986677190381,6.37052622463333,141.929138421255,0.247700590731358
"41",4,2540.17664375846,878.769981630946,626.671103788164,579.027025182018,6.2169292494675,141.351131140219,0.244118365797841
"42",4.1,2469.88692295761,853.95190210845,616.645523717366,584.958077726158,6.06559347980354,140.7862074753,0.240677431146113
"43",4.2,2400.94596020629,829.685019141925,606.394244412208,590.783541634721,5.91644044088342,140.233815827619,0.23736919860629
"44",4.3,2333.31358912256,805.946955399827,595.937889745152,596.506934501558,5.76939727258513,139.693440635386,0.234185778162183
"45",4.4,2266.95162888057,782.716829792968,585.295580802224,602.131598075653,5.6243961584809,139.164597894252,0.231119905248299
"46",4.5,2201.81775422389,759.973839287736,574.483544741745,607.661313805157,5.48135587763642,138.647053074656,0.228165015486098
