"","(Intercept)","Number","Rec","SSB","Rec:SSB","df","logLik","AICc","delta","weight"
"5",4.99463401079045,NA,NA,-0.000520581380718991,NA,3,-232.186836979187,470.884312256246,0,0.591656452473468
"7",5.0000064152568,NA,-0.00647459265496757,-0.000472844406866679,NA,4,-231.716214645032,472.301994507455,1.41768225120956,0.291221755706526
"15",5.02096034322296,NA,-0.0133879754408267,-0.000532561010215613,1.02401216251316e-05,5,-231.399109275463,474.131551884259,3.24723962801284,0.116664971494291
"2",4.93655790728358,-0.0203181385188225,NA,NA,NA,3,-239.354685258767,485.220008815406,14.3356965591606,0.000456155221249413
"3",4.87134050382283,NA,-0.0294802590299285,NA,NA,3,-245.885799837381,498.282237972634,27.3979257163878,6.64791760450984e-07
"1",4.74192298222788,NA,NA,NA,NA,2,-254.678085275915,513.60617055183,42.7218582955842,3.12705808255623e-10
