"","Fmulti","Biomass","SSB","Rec","SPR0","SPS","Yield","Scenario"
"1",1.55381225365027,0.399528522376954,0.0999998664609641,0.000824053138111425,344.60485213824,2.83973089027865,0.0512781949829941,"A"
"2",1.50849829088866,499.95836783088,127.178502174012,1.02362180508086,344.60485213824,2.77362160078536,63.0011997326687,"A"
"3",1.46473022551333,983.915798410226,254.256870889613,1.99987997989682,344.60485213824,2.7105200435892,121.720669173655,"A"
"4",1.42241972878373,1453.25531904629,381.336095587701,2.93270439841773,344.60485213824,2.65021899913349,176.48036115444,"A"
"5",1.38149823953636,1908.8756462839,508.414738164723,3.82493053911617,344.60485213824,2.59254802020336,227.527933395953,"A"
"6",1.34188920229309,2351.60476106025,635.493527665736,4.67915232617326,344.60485213824,2.53733283707238,275.089467469067,"A"
"7",1.303535366392,2782.19902007082,762.56854477984,5.49774731557788,344.60485213824,2.48443292573141,319.373318384776,"A"
"8",1.26634615218954,3201.37451678474,889.651845639733,6.28289879430889,344.60485213824,2.4336682047295,360.567060322321,"A"
"9",1.23029897574344,3609.76003468838,1016.7275859579,7.03661522516777,344.60485213824,2.38495717310363,398.84983375299,"A"
"10",1.19532112649311,4007.96489309019,1143.80421062164,7.76074740191374,344.60485213824,2.33815471746273,434.381179118884,"A"
"11",1.16135013740339,4396.55517193383,1270.89107471803,8.45700362320346,344.60485213824,2.29313474701456,467.307992587943,"A"
"12",1.1283667996229,4776.02297030454,1397.9689498661,9.12696314723053,344.60485213824,2.24983236296041,497.77303965193,"A"
"13",1.09631339324128,5146.85708909088,1525.04660597226,9.77208815012739,344.60485213824,2.20813513427651,525.902026754507,"A"
"14",1.0651478140325,5509.50327150457,1652.12462796982,10.3937343787198,344.60485213824,2.16795466764769,551.813449818974,"A"
"15",1.03483283372171,5864.37413889572,1779.20131476299,10.9931606609739,344.60485213824,2.12921183942103,575.617985348148,"A"
"16",1.0053375914267,6211.84839697149,1906.26973486631,11.5715374145339,344.60485213824,2.09183824660953,597.419994564682,"A"
"17",0.97661463010891,6552.30383020222,2033.34413491444,12.1299542743648,344.60485213824,2.05574699697205,617.311474809047,"A"
"18",0.948612730526025,6886.10866036578,2160.45098704828,12.6694269440969,344.60485213824,2.02084936197128,635.374818533739,"A"
"19",0.921348939877665,7213.50872735041,2287.52946472339,13.1909033617085,344.60485213824,1.98714349809742,651.708946204651,"A"
"20",0.894797537983665,7534.78802655438,2414.56856690263,13.695269258289,344.60485213824,1.95457536490675,666.394792732619,"A"
"21",0.868871800410898,7850.32556278348,2541.65625364183,14.1833531784579,344.60485213824,1.92301862924366,679.482632010314,"A"
"22",0.843588750135425,8160.309713469,2668.72919691959,14.6559310222967,344.60485213824,1.89247562049997,691.057343595184,"A"
"23",0.818914564471301,8465.00218575077,2795.80155643723,15.1137301611696,344.60485213824,1.86288784890876,701.179557445171,"A"
"24",0.794814721460401,8764.65836401187,2922.89482897893,15.5574331733511,344.60485213824,1.83419769510696,709.904029342125,"A"
"25",0.771296298436623,9059.434122938,3049.95465844271,15.9876812398146,344.60485213824,1.80639817527408,717.301960053263,"A"
"26",0.748279137410373,9349.66888982025,3177.09973972716,16.4050772357103,344.60485213824,1.77938046591317,723.395392051205,"A"
"27",0.725818900046828,9635.38372767355,3304.17753258395,16.8101885488816,344.60485213824,1.75319651628195,728.275334702739,"A"
"28",0.703867131214448,9916.82694043831,3431.245828043,17.2035496531283,344.60485213824,1.72777672646393,731.974135714193,"A"
"29",0.682394570771358,10194.2006306207,3558.33068688482,17.5856644607593,344.60485213824,1.70307535597768,734.529799154058,"A"
"30",0.66138794238155,10467.6603353813,3685.42511966004,17.9570084762091,344.60485213824,1.67906606425908,735.986715480381,"A"
"31",0.640850391015295,10737.3058296847,3812.47992528008,18.3180307700707,344.60485213824,1.65574177666527,736.398513710397,"A"
"32",0.620749027254347,11003.331280622,3939.5375019379,18.6691557907773,344.60485213824,1.63305506488056,735.79188145068,"A"
"33",0.601065652786605,11265.8873178898,4066.60828007122,19.010785029299,344.60485213824,1.61097610413037,734.20010464247,"A"
"34",0.581792684688701,11525.0867402763,4193.6750896447,19.3432985505817,344.60485213824,1.58948759605832,731.662174950491,"A"
"35",0.562913079130958,11781.0667603796,4320.74867099059,19.6670564040095,344.60485213824,1.56856220534214,728.207708807245,"A"
"36",0.54441082202403,12033.9585723991,4447.84004217915,19.9823999238959,344.60485213824,1.54817437359271,723.864579928819,"A"
"37",0.526290496785894,12283.8167537026,4574.89619642872,20.2896529298765,344.60485213824,1.52832163783178,718.676941903888,"A"
"38",0.508521365894476,12530.8160919297,4701.97781846213,20.5891228360813,344.60485213824,1.50896322877687,712.655947423325,"A"
"39",0.491089782933271,12775.0715055781,4829.09628584787,20.8811016770693,344.60485213824,1.49007775574858,705.825006229752,"A"
"40",0.47401321903821,13016.5725154823,4956.15330565281,21.1658670577258,344.60485213824,1.47167773835529,698.237133926248,"A"
"41",0.457272813365825,13255.4409595042,5083.1747651575,21.4436830336155,344.60485213824,1.45373660409046,689.90945300571,"A"
"42",0.44081799540741,13491.9343003011,5210.31450685628,21.7148009276607,344.60485213824,1.43619463912224,680.821560874047,"A"
"43",0.424687353273574,13725.9403389088,5337.39293589951,21.9794600884521,344.60485213824,1.41908768659598,671.046356499933,"A"
"44",0.408869413150185,13957.5446924304,5464.41406108051,22.2378885950043,344.60485213824,1.40239817581335,660.604003302715,"A"
"45",0.393305871484028,14187.0478641947,5591.58233028093,22.490303912315,344.60485213824,1.38605986578722,649.456252082504,"A"
