"","Scenario","SPR0","SB0","R0","B0","h","SPRmsy","SBmsy","Rmsy","Bmsy","MSY","Fmsy2F","SBmsy2SB0"
"1","A",344.60485213824,9808.50996846063,28.463064021298,20879.9201889648,0.415185899574573,207.814920901916,3798.78560450334,18.2796576300519,10708.4391103696,736.409107123654,0.643047151087785,0.387294871159675
"2","B",671.004205498092,24148.5284810639,35.9886395393577,39209.8555035287,0.580252338613974,307.573446253411,8181.57339377108,26.6003892515163,18832.3952927181,2551.12055914639,1.61493974738694,0.338802151037346
"3","C",696.145945246021,25253.1048526564,36.2755899464901,39471.0500983243,0.589184041941009,316.849127907151,8589.09088809954,27.107825559856,18733.3301905305,2749.59516120225,1.80364154748561,0.340120192673894
"4","D",500.651547364109,2693.81626271145,15.5432540536605,5495.05654565173,0.5141624858832,151.137998240845,1308.75699656314,8.65935113469993,4102.32417263156,790.994891819508,2.77390325236951,0.4858375141168
